
2020-06-06 11:49:48.718 || /127.0.0.1:58561 || LIST / AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 11:49:55.067 || /127.0.0.1:58561 || COMMAND NOT FOUND || <AFTP/1.0 400 Bad request
2020-06-06 11:57:48.557 || /127.0.0.1:58614 || LIST / AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 11:59:18.789 || /127.0.0.1:58614 || SYNCH / AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:05.241 || /127.0.0.1:58614 || DELETE test/txt AFTP/1.0 || <AFTP/1.0 404 Not found
2020-06-06 12:05:08.788 || /127.0.0.1:58614 || DELETE test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:11.676 || /127.0.0.1:58614 || PUT test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:15.221 || /127.0.0.1:58614 || DELETE test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:18.524 || /127.0.0.1:58614 || PUT test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:20.9 || /127.0.0.1:58614 || GET test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:23.347 || /127.0.0.1:58614 || DELETE test.txt AFTP/1.0 || <AFTP/1.0 423 Locked
2020-06-06 12:05:52.048 || /127.0.0.1:58614 || PUT test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:05:56.515 || /127.0.0.1:58614 || DELETE test.txt AFTP/1.0 || <AFTP/1.0 423 Locked
2020-06-06 12:06:02.613 || /127.0.0.1:58614 || DELETE test.txt AFTP/1.0 || <AFTP/1.0 423 Locked
2020-06-06 12:06:07.881 || /127.0.0.1:58614 || LIST / AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:06:12.524 || /127.0.0.1:58614 || PUT test.txt AFTP/1.0 || <AFTP/1.0 200 OK
2020-06-06 12:06:17.565 || /127.0.0.1:58614 || GET test.txt AFTP/1.0 || <AFTP/1.0 200 OK
